District,Rooms,price_numeric,city,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Akçadağ,2+1,13375.0,malatya,04,0.0,0.0,0.0,
Akçadağ,3+1,10625.0,malatya,04,0.0,21.428571428571427,-15.0,
Akçadağ / Köyler,2+1,11500.0,malatya,04,0.0,0.0,,
Akçadağ / Köyler,3+1,9000.0,malatya,04,0.0,-5.263157894736842,-5.263157894736842,
Arapgir,3+1,30000.0,malatya,04,0.0,0.0,0.0,
Battalgazi,2+1,12000.0,malatya,04,0.0,0.0,0.0,
Battalgazi,3+1,12000.0,malatya,04,0.0,-4.0,-4.0,
Battalgazi / Köyler,2+1,18000.0,malatya,04,0.0,63.63636363636363,-28.000000000000004,
Battalgazi / Merkez,1+1,18900.0,malatya,04,2.1621621621621623,1.06951871657754,2.1621621621621623,
Battalgazi / Merkez,2+0,18000.0,malatya,04,0.5586592178770949,0.5586592178770949,0.5586592178770949,
Battalgazi / Merkez,2+1,15500.0,malatya,04,-3.125,1.639344262295082,0.0,
Battalgazi / Merkez,2.5+1,14500.0,malatya,04,0.0,,-4.918032786885246,
Battalgazi / Merkez,3+1,15500.0,malatya,04,3.3333333333333335,-2.515723270440252,0.0,
Battalgazi / Merkez,3+2,20000.0,malatya,04,0.0,0.0,,
Battalgazi / Merkez,3.5+1,14000.0,malatya,04,0.0,-15.151515151515152,-20.0,
Battalgazi / Merkez,4+1,23000.0,malatya,04,-6.122448979591836,2.2222222222222223,0.0,
Battalgazi / Merkez,5+1,22000.0,malatya,04,-3.296703296703297,-6.382978723404255,-6.382978723404255,
Battalgazi / Merkez,6+2,55000.0,malatya,04,0.0,,0.0,
Battalgazi / Merkez,Stüdyo (1+0),16000.0,malatya,04,0.0,0.0,0.0,
Darende,2+1,17000.0,malatya,04,0.0,,,
Darende,3+1,17000.0,malatya,04,6.25,19.298245614035086,6.25,
Darende,3.5+1,9000.0,malatya,04,0.0,0.0,0.0,
Doğanşehir,3+1,14000.0,malatya,04,7.6923076923076925,16.666666666666664,12.0,
Doğanşehir / Köyler,3+1,6500.0,malatya,04,0.0,-10.344827586206897,0.0,
Hekimhan,2+1,12000.0,malatya,04,0.0,,0.0,
Hekimhan,3+1,15000.0,malatya,04,0.0,,50.0,
Kale / Köyler,2+1,9500.0,malatya,04,0.0,-6.172839506172839,-5.0,
Pütürge,2+1,13000.0,malatya,04,0.0,0.0,0.0,
Yazıhan / Köyler,3+1,6750.0,malatya,04,0.0,,,
Yeşilyurt,1+1,20500.0,malatya,04,46.42857142857143,46.42857142857143,46.42857142857143,
Yeşilyurt,2+1,22500.0,malatya,04,0.0,-2.1739130434782608,40.625,
Yeşilyurt,3+1,18000.0,malatya,04,0.0,0.0,0.0,
