date,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d
2026-03-04,,,,,,,,
2026-03-05,-0.0194008031743056,-0.0123863556434454,,,,,,
2026-03-06,0.0265961374281123,0.016980184478282,,,,,,
2026-03-07,-0.0011610287740162,-0.0007412536057416,,,,,,
2026-03-08,0.0,0.0,,,,,,
2026-03-09,0.0020456639502463,0.0013060449604624,,,,,,
2026-03-10,0.0132367250754352,0.0084509276686025,,,,,,
2026-03-11,-0.0148196083986146,-0.0094615124164003,0.0043236196199238,0.0027603955258038,,,,
2026-03-12,0.0732512768882944,0.0467669487042966,0.0974381854672819,0.0622089718454628,,,,
2026-03-13,0.2030054427462494,0.1296079130754921,0.2735845413114648,0.1746688215321253,,,,
2026-03-14,0.0,0.0,0.2749368100134944,0.1755321714109088,,,,
2026-03-15,0.0,0.0,0.2779719090707534,0.1774881546168498,,,,
2026-03-16,0.0,0.0,0.280841700964552,0.1793248796014702,,,,
2026-03-17,0.0,0.0,0.2788158640297621,0.1780305225605019,,,,
2026-03-18,0.0,0.0,0.284339885920677,0.1815641058604514,,,,
2026-03-19,0.0,0.0,0.2213638105486235,0.1413520137152145,0.3048825655108259,0.1946829722293287,,
2026-03-20,0.0,0.0,0.0,0.0,0.3187527559239488,0.2035410453523538,,
2026-03-21,0.0,0.0,0.0,0.0,0.2920053225149772,0.1864634166375622,,
2026-03-22,0.0,0.0,0.0,0.0,0.2950053713326713,0.1883814447315931,,
2026-03-23,0.0,0.0,0.0,0.0,0.3002131671488996,0.1916822963979067,,
2026-03-24,0.0,0.0,0.0,0.0,0.3092752955145028,0.1974815277106368,,
2026-03-25,0.0,0.0,0.0,0.0,0.2969233488247104,0.1895870732169695,,
2026-03-26,0.05975940349038331,0.03815092924524911,0.05950782630525691,0.03799696426442858,0.383064220898948,0.24459807931920582,,
