Date,Overall_Avg_Price,Normal_Inflation_%,Weighted_Inflation_%
2026-03-03,59887.5,,0.0
2026-03-04,59514.13,-0.62,-0.26
2026-03-06,60240.22,1.22,0.9
2026-03-07,61090.24,1.41,0.97
2026-03-08,61517.3,0.7,1.14
2026-03-09,61759.97,0.39,-0.27
2026-03-10,62605.51,1.37,0.92
2026-03-11,63549.61,1.51,1.05
2026-03-12,63385.82,-0.26,0.16
2026-03-13,62663.22,-1.14,-0.42
2026-03-15,64616.78,3.12,1.53
2026-03-16,65212.8,0.92,0.52
2026-03-18,66822.38,2.47,1.54
2026-03-19,67041.94,0.33,-0.35
2026-03-20,67325.29,0.42,-0.14
2026-03-21,67458.8,0.2,0.69
2026-03-22,67662.52,0.3,-0.09
2026-03-23,68200.31,0.79,0.65
2026-03-24,68135.97,-0.09,0.04
2026-03-25,67730.49,-0.6,-0.12
2026-03-26,67996.06,0.39,0.54
2026-03-27,68495.59,0.73,-0.27
2026-03-28,68841.2,0.5,0.69
2026-03-29,69253.28,0.6,-0.05
2026-03-30,69337.42,0.12,0.53
2026-03-31,69946.67,0.88,0.79
2026-04-01,70252.92,0.44,0.27
2026-04-02,70665.85,0.59,0.58
2026-04-03,71107.7,0.63,0.52
2026-04-04,71787.92,0.96,0.93
2026-04-05,71851.91,0.09,0.55
2026-04-06,72231.77,0.53,0.06
2026-04-07,73028.55,1.1,1.3
2026-04-08,73395.97,0.5,0.4
2026-04-09,72782.81,-0.84,-0.06
2026-04-10,73297.26,0.71,0.01
2026-04-11,73393.44,0.13,0.46
2026-04-12,73591.57,0.27,0.2
2026-04-13,74064.35,0.64,0.7
2026-04-14,79006.86,6.67,4.94
2026-04-15,81593.69,3.27,3.62
2026-04-17,73156.74,-10.34,-7.24
2026-04-18,72822.69,-0.46,-0.01
2026-04-19,72589.84,-0.32,-0.08
2026-04-23,74907.85,3.19,2.76
2026-04-24,74665.65,-0.32,-0.22
2026-04-25,74480.09,-0.25,0.14
2026-04-26,75285.28,1.08,0.33
2026-04-27,75302.27,0.02,-0.2
2026-04-28,75648.28,0.46,0.55
