Date,Overall_Normal_Daily_Inflation,Overall_Weighted_Daily_Inflation,Overall_Normal_Weekly_Inflation,Overall_Weighted_Weekly_Inflation,alarm_Daily_Inflation,alarm_Weekly_Inflation,bahce-ve-balkon_Daily_Inflation,bahce-ve-balkon_Weekly_Inflation,banyo_Daily_Inflation,banyo_Weekly_Inflation,beyaz-esya_Daily_Inflation,beyaz-esya_Weekly_Inflation,dekorasyon-ve-ev-gerecleri_Daily_Inflation,dekorasyon-ve-ev-gerecleri_Weekly_Inflation,elektrik-ve-aydinlatma_Daily_Inflation,elektrik-ve-aydinlatma_Weekly_Inflation,elektrikli-el-aletleri_Daily_Inflation,elektrikli-el-aletleri_Weekly_Inflation,hirdavat-el-aletleri-ve-oto_Daily_Inflation,hirdavat-el-aletleri-ve-oto_Weekly_Inflation,hobi-boyalari_Daily_Inflation,hobi-boyalari_Weekly_Inflation,insaat-malzemeleri_Daily_Inflation,insaat-malzemeleri_Weekly_Inflation,isitma-ve-sogutma_Daily_Inflation,isitma-ve-sogutma_Weekly_Inflation,kamp-kapcilik-malzemeleri_Daily_Inflation,kamp-kapcilik-malzemeleri_Weekly_Inflation,kisisel-bakim-setleri_Daily_Inflation,kisisel-bakim-setleri_Weekly_Inflation,mobilya_Daily_Inflation,mobilya_Weekly_Inflation,mutfak_Daily_Inflation,mutfak_Weekly_Inflation,temizlik_Daily_Inflation,temizlik_Weekly_Inflation
2026-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-14,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2026-03-15,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2026-03-16,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2026-03-18,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2026-03-19,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2026-03-20,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2026-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-02,0.011454142878714269,0.01949414580049491,0.011454142878714269,0.01949414580049491,0.0,0.0,0.0014099222718102489,0.0014099222718102489,0.07643256369790952,0.07643256369790952,0.0,0.0,0.0,0.0,0.028375462680215513,0.028375462680215513,-0.0009601306617667005,-0.0009601306617667005,-0.00018447445028857423,-0.00018447445028857423,0.0,0.0,0.01021150292173445,0.01021150292173445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09754604855711246,0.09754604855711246,0.0,0.0
2026-04-03,0.0,0.0,0.011454142878714269,0.01949414580049491,0.0,0.0,0.0,0.0014099222718102489,0.0,0.07643256369790952,0.0,0.0,0.0,0.0,0.0,0.028375462680215513,0.0,-0.0009601306617667005,0.0,-0.00018447445028857423,0.0,0.0,0.0,0.01021150292173445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09754604855711246,0.0,0.0
2026-04-04,0.0,0.0,0.011454142878714269,0.01949414580049491,0.0,0.0,0.0,0.0014099222718102489,0.0,0.07643256369790952,0.0,0.0,0.0,0.0,0.0,0.028375462680215513,0.0,-0.0009601306617667005,0.0,-0.00018447445028857423,0.0,0.0,0.0,0.01021150292173445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09754604855711246,0.0,0.0
