product_name,price
Merkez / Sürsürü - 3+1,15000.0
Merkez / 1800 Evler - 1+1,15000.0
Merkez / İzzetpaşa - 3+1,16000.0
Merkez / Sürsürü - 4+1,33000.0
Merkez / Nailbey - 3+1,8000.0
Merkez / 1800 Evler - 4+1,25000.0
Merkez / Nailbey - 3+1,19500.0
Merkez / 1800 Evler - 4+1,20000.0
Merkez / 1800 Evler - 1+1,20000.0
Merkez / Sürsürü - 4+1,19500.0
Merkez - 3+1,11000.0
Merkez / İzzetpaşa - 4+1,20000.0
Merkez - 3+1,8500.0
Merkez / Sürsürü - 2+1,20000.0
Merkez / Sürsürü - 3+1,19000.0
Merkez / İzzetpaşa - 3+1,24000.0
Merkez / Sürsürü - 4+1,22000.0
Merkez / 1800 Evler - 3+1,15000.0
Merkez - 3+1,11000.0
Merkez - 3+1,12000.0
Merkez / Sürsürü - 1+1,23000.0
Merkez / Sürsürü - 4+1,13500.0
Merkez / Köyler - 3+1,10000.0
Merkez / Doğukent - 3+1,22500.0
Merkez / Sürsürü - 2+1,18000.0
Merkez / İzzetpaşa - 2+1,14500.0
Merkez / 1800 Evler - 1+1,17000.0
Merkez / Sürsürü - 1+1,20500.0
Merkez - 3+1,10750.0
Merkez / Sürsürü - 3+1,15500.0
Merkez - 1+1,20000.0
Merkez / Sürsürü - 3+1,24000.0
Merkez / 1800 Evler - 4+1,25000.0
Merkez / Doğukent - 3+1,18000.0
Merkez / Sürsürü - 3+1,13500.0
Merkez / Doğukent - 3+1,17750.0
Merkez - 3+1,13000.0
Merkez / Sürsürü - 3+1,22000.0
Merkez / Sürsürü - 3+1,12000.0
Merkez / Sürsürü - 3+1,36000.0
Merkez / Sürsürü - 3+1,15000.0
Merkez / İzzetpaşa - 3+1,16500.0
Merkez / İzzetpaşa - 1+1,16000.0
Merkez / Sürsürü - 1+1,19000.0
Merkez / Sürsürü - 1+1,21000.0
Merkez / İzzetpaşa - 2+0,19000.0
Merkez / İzzetpaşa - 3+1,11000.0
Merkez / Sürsürü - 1+1,15000.0
Merkez / Sürsürü - 4+1,19500.0
Merkez - 2+1,11500.0
Merkez / Nailbey - 3+1,9000.0
Merkez / Nailbey - 3+1,12000.0
Merkez / Sürsürü - 1+1,24500.0
Merkez / Yurtbaşı - 3+1,5000.0
Merkez - 2+1,12500.0
Merkez / Sürsürü - 2+1,13500.0
Merkez / Sürsürü - 1+1,20000.0
Merkez / 1800 Evler - 4+1,25000.0
Merkez / Doğukent - 2+1,13000.0
Merkez / Sürsürü - 2+1,7000.0
Merkez / Mustafapaşa - 2+1,28500.0
Merkez / Nailbey - 2+1,12000.0
Merkez / Sürsürü - 2+1,20500.0
Merkez / İzzetpaşa - 2+1,19000.0
Merkez / Sürsürü - 1+1,22500.0
Merkez / Nailbey - 3+1,13000.0
Merkez / Köyler - 3+1,10000.0
Merkez / Mustafapaşa - 3+1,15000.0
Merkez - 3+1,9000.0
Merkez / Sürsürü - 1+1,21000.0
Merkez / Sürsürü - 2+1,10000.0
Merkez / Sürsürü - 4+1,18000.0
Merkez / Sürsürü - Stüdyo (1+0),14000.0
Merkez / Sürsürü - 1+1,23000.0
Merkez / İzzetpaşa - 3+1,15000.0
Merkez / Doğukent - 3+1,16000.0
Merkez / Sürsürü - 3+1,18000.0
Merkez - 3+1,7000.0
Merkez / Köyler - 2+1,11000.0
Merkez / Mustafapaşa - 3+1,12000.0
Merkez / İzzetpaşa - 3+1,10500.0
Merkez / 1800 Evler - 3+1,22000.0
Merkez / İzzetpaşa - 2+1,15500.0
Merkez / Mustafapaşa - 3+1,26000.0
Merkez / Mustafapaşa - 3+1,12000.0
Merkez / Mustafapaşa - 3+1,10000.0
Merkez / İzzetpaşa - 3+1,7500.0
Merkez / Sürsürü - 4+1,22500.0
Merkez / 1800 Evler - 3+1,14000.0
Merkez - 3+1,12000.0
Merkez / Sürsürü - 2+1,18500.0
Merkez - 3+1,11000.0
Merkez / İzzetpaşa - 3+1,15000.0
Merkez - 3+1,8500.0
Merkez / 1800 Evler - 3+1,20000.0
Kovancılar - 3+1,8000.0
Merkez / Yurtbaşı - 3+1,18000.0
Merkez / Sürsürü - 3+1,19500.0
Merkez / Nailbey - 3+1,9000.0
Merkez - 3+1,12000.0
Merkez / İzzetpaşa - Stüdyo (1+0),15000.0
Merkez / Sürsürü - 3+1,16250.0
Merkez / İçme - 2+1,10000.0
Merkez / Sürsürü - 1+1,15500.0
Merkez / İzzetpaşa - 2+1,22000.0
Merkez / İzzetpaşa - 3+1,8000.0
Kovancılar - 3+1,30000.0
Merkez / Sürsürü - 3+1,26000.0
Merkez / Sürsürü - 1+1,22500.0
Merkez / Sürsürü - 2+1,13500.0
Merkez - 3+1,20000.0
Merkez / Sürsürü - 2+0,15500.0
Merkez / Sürsürü - 1+1,18000.0
Merkez / 1800 Evler - 3+1,20500.0
Merkez / 1800 Evler - 4+1,20000.0
Merkez - 3+1,10000.0
Merkez - 2+1,10000.0
Merkez / 1800 Evler - 3+1,13500.0
Merkez / Sürsürü - 4+1,20000.0
Merkez / İzzetpaşa - 2+1,25000.0
Merkez / 1800 Evler - 3+1,14000.0
Merkez / Sürsürü - 5+1,75000.0
Merkez / Doğukent - 1+1,24000.0
Merkez / İzzetpaşa - 2+1,25250.0
Merkez / İzzetpaşa - 2+1,19000.0
Merkez / Sürsürü - 1+1,22500.0
Merkez / 1800 Evler - 1+1,17500.0
Merkez - 3+1,9000.0
Merkez / Sürsürü - 1+1,22000.0
Merkez / İzzetpaşa - 3+1,13500.0
Merkez / 1800 Evler - 3+1,18500.0
Merkez / Sürsürü - 3+1,16500.0
Merkez / 1800 Evler - 4+1,27000.0
Merkez / Sürsürü - 1+1,19500.0
Merkez / Sürsürü - 1+1,15000.0
Merkez / 1800 Evler - 3+1,17500.0
Merkez / Nailbey - 3+1,13000.0
Merkez - 3+1,8000.0
Kovancılar - 3+1,7500.0
Merkez - 3+1,18000.0
Merkez / 1800 Evler - 4+1,33000.0
Merkez / Sürsürü - 2+0,17500.0
Merkez / Sürsürü - 4+1,25000.0
Merkez / İzzetpaşa - 3+1,16000.0
Merkez / İzzetpaşa - 3+1,7000.0
Merkez / Sürsürü - 4+1,25000.0
Merkez / İzzetpaşa - 4+1,18000.0
Merkez / Mustafapaşa - 3+1,13000.0
Merkez / 1800 Evler - 4+1,25000.0
Merkez - 2+1,10000.0
Merkez / Nailbey - 7+1,11000.0
Merkez / Yurtbaşı - 3+1,10000.0
Merkez / Nailbey - 3+1,15500.0
Merkez / Mustafapaşa - 3+1,14000.0
Merkez / Sürsürü - 4+1,30000.0
Merkez - 3+1,12000.0
Merkez / Sürsürü - 1+1,25000.0
Merkez / Sürsürü - 3+1,14000.0
Maden / Gezin - 4+1,250000.0
Merkez / Sürsürü - 3+1,20000.0
Merkez / Nailbey - 3+1,9000.0
Merkez - 3+1,10000.0
Merkez / Sürsürü - 1+1,12500.0
Merkez / Yurtbaşı - 3+1,12500.0
Merkez / Sürsürü - 1+1,16000.0
Merkez / Köyler - 2+1,8750.0
Merkez - 2+1,11750.0
Merkez / Doğukent - 3+1,10500.0
Merkez / Sürsürü - 1+1,20000.0
Merkez / Yurtbaşı - 3+1,13500.0
Merkez / 1800 Evler - 3+1,15000.0
Merkez / İzzetpaşa - 3+1,26000.0
Merkez / Sürsürü - 1+1,19500.0
Kovancılar - 3+1,12000.0
Merkez / Sürsürü - 1+1,22500.0
Merkez / 1800 Evler - 3+1,27000.0
Merkez - 3+1,15000.0
Merkez / Sürsürü - 1+1,21000.0
Merkez / 1800 Evler - 3+1,13750.0
Merkez / İzzetpaşa - 1+1,23500.0
Merkez / Nailbey - 3+1,13000.0
Merkez / Nailbey - 3+1,6500.0
Merkez / İzzetpaşa - 2+1,23000.0
Merkez - 1+1,22000.0
Merkez / Sürsürü - 2+1,18000.0
Merkez / Mustafapaşa - 3+1,15000.0
Merkez - 3+1,10000.0
Merkez - 3+1,13500.0
Merkez / Sürsürü - 1+1,22000.0
Merkez / Sürsürü - 2+1,15000.0
Merkez - 1+1,18500.0
Merkez / İzzetpaşa - 1+1,23000.0
Merkez / Sürsürü - 4+1,18000.0
Merkez / Mustafapaşa - 2+1,17000.0
Merkez / Sürsürü - 1+1,21000.0
Merkez / Sürsürü - 3+1,13000.0
Kovancılar - 1+1,15000.0
Merkez - 2+1,8750.0
Merkez / Sürsürü - 4+1,30000.0
Merkez - 2+1,12000.0
Merkez / İzzetpaşa - 4+1,16500.0
Merkez / Sürsürü - 3+1,16000.0
Merkez / Sürsürü - 1+1,17000.0
Merkez - 3+1,13750.0
Merkez / Sürsürü - 1+1,25000.0
Merkez / Nailbey - 3+1,8000.0
Merkez / Doğukent - 2+1,24000.0
Merkez - 2+1,11000.0
Merkez / 1800 Evler - 3+1,12000.0
Merkez / 1800 Evler - 4+1,25000.0
Merkez / Sürsürü - 2+1,22000.0
Merkez / İzzetpaşa - 3+1,11000.0
Merkez / İzzetpaşa - 1+1,22500.0
Merkez / 1800 Evler - 4+1,28000.0
Merkez / 1800 Evler - 4+1,16500.0
Merkez / Sürsürü - 1+1,19000.0
Merkez / Mustafapaşa - 2+1,11250.0
Merkez / İzzetpaşa - 1+1,23000.0
Merkez / Köyler - 3+1,10000.0
Merkez / Sürsürü - 2+0,14750.0
Merkez / Nailbey - 3+1,10000.0
Merkez / Sürsürü - 4+1,29000.0
Merkez / 1800 Evler - 4+1,30000.0
Merkez / Sürsürü - 3+1,20000.0
Merkez - 3+1,12000.0
Merkez / İzzetpaşa - 3+1,16000.0
Merkez / Sürsürü - 2+1,20000.0
Merkez - 2+1,14000.0
Merkez / Sürsürü - 2+1,19000.0
Merkez / Nailbey - 2+1,11000.0
Merkez - 3+1,9500.0
Merkez / İzzetpaşa - 1+1,20000.0
Merkez / Sürsürü - 3+1,23500.0
Merkez / Sürsürü - 1+1,25000.0
Merkez / Doğukent - 3+1,10000.0
Merkez / Yurtbaşı - 3+1,20000.0
Merkez / Sürsürü - 2+1,13500.0
Merkez / Sürsürü - 1+1,22000.0
Merkez / Sürsürü - 3+1,15500.0
Merkez / Sürsürü - 2+1,16000.0
Merkez / 1800 Evler - 2+1,20500.0
Merkez / Mustafapaşa - 3+1,9500.0
Merkez / Aksaray - 4+1,22000.0
Merkez / İzzetpaşa - 3+1,18000.0
Palu - 2+1,6000.0
Merkez / Sürsürü - 1+1,20000.0
Merkez / 1800 Evler - 2+1,30000.0
Merkez - 3+1,11000.0
Merkez / İzzetpaşa - 3+1,14000.0
Merkez / Mustafapaşa - 3+1,20000.0
Merkez - 3+1,16000.0
Merkez / Sürsürü - 3+1,27500.0
Merkez / 1800 Evler - 1+1,15000.0
Merkez / Sürsürü - 3+1,22000.0
Merkez / Sürsürü - 3+1,11000.0
Merkez / Sürsürü - 4+1,28500.0
Merkez / Sürsürü - 3+1,23000.0
Merkez - 3+1,9500.0
Merkez / Nailbey - 3+1,12000.0
Merkez / İzzetpaşa - 1+1,24800.0
Merkez / 1800 Evler - 3+1,35000.0
Merkez / 1800 Evler - 2+1,24000.0
Merkez / 1800 Evler - 1+1,16500.0
Merkez / Sürsürü - 1+1,16000.0
Merkez / Nailbey - 4+1,13000.0
Kovancılar - 1+1,15000.0
Merkez / İzzetpaşa - 3+1,12000.0
Merkez - 3+1,8500.0
Merkez / Sürsürü - 1+1,14000.0
Merkez / İzzetpaşa - 1+1,23500.0
Merkez / Doğukent - 4+1,25500.0
Merkez / Sürsürü - 1+1,19000.0
Merkez / Sürsürü - 3+1,15500.0
Merkez / İzzetpaşa - 1+1,22500.0
Merkez / Sürsürü - 3+1,13500.0
Merkez - 1+1,22000.0
Merkez / İzzetpaşa - 3+1,16000.0
Merkez / Sürsürü - 1+1,18500.0
Merkez - 3+1,11000.0
Merkez / İzzetpaşa - 2+1,9000.0
Sivrice - 2+1,7300.0
Merkez / İzzetpaşa - 3+1,13000.0
Merkez / Doğukent - 1+1,23000.0
Merkez - 3+1,11500.0
Merkez / İzzetpaşa - 1+1,21500.0
Merkez - 3+1,10000.0
Merkez / İzzetpaşa - 3+1,14000.0
Merkez / Mustafapaşa - 3+1,10000.0
Merkez / İzzetpaşa - 3+1,11000.0
Merkez / İzzetpaşa - 1+1,20000.0
Merkez / Sürsürü - 4+1,31000.0
Merkez / Sürsürü - 1+1,16000.0
Merkez / 1800 Evler - 3+1,20000.0
Merkez / Sürsürü - 3+1,16500.0
Merkez / İzzetpaşa - 4+1,15000.0
Merkez / 1800 Evler - 4+1,29000.0
Merkez / Yurtbaşı - 3+1,13000.0
Merkez - 4+1,23000.0
Merkez / Sürsürü - 1+1,21000.0
Merkez / Mustafapaşa - 3+1,20500.0
Merkez / 1800 Evler - 3+1,17000.0
Merkez / Sürsürü - 1+1,19500.0
Merkez / Mustafapaşa - 3.5+1,10000.0
Merkez / Nailbey - 3+1,14000.0
Merkez - 3+1,8000.0
Merkez - 3+1,13000.0
Merkez / Yurtbaşı - 3+1,15000.0
Merkez - 3+1,12000.0
Merkez / 1800 Evler - 4+1,22000.0
Merkez / İzzetpaşa - 2+1,18000.0
Merkez / Sürsürü - 1+1,23500.0
Merkez / İzzetpaşa - 2+0,25500.0
Merkez / Sürsürü - 3+1,10000.0
Merkez / Yurtbaşı - 3+1,9500.0
Merkez / İzzetpaşa - 2+1,17500.0
Merkez / 1800 Evler - 3+1,16000.0
Merkez / Sürsürü - 4+1,22500.0
Merkez / Yurtbaşı - 2.5+1,22000.0
Merkez / Sürsürü - 1+1,15000.0
Merkez / Sürsürü - 1+1,22000.0
Merkez - 3+1,12500.0
Merkez / İzzetpaşa - 3+1,10500.0
Merkez / 1800 Evler - 3+1,19500.0
Merkez / İzzetpaşa - 3+1,13000.0
Merkez / Sürsürü - 2+1,12500.0
Merkez / İzzetpaşa - 3+1,10000.0
Merkez - 3+1,11000.0
Merkez / Sürsürü - 2+1,13000.0
Merkez - 4+1,23000.0
Merkez - 3+1,10000.0
Merkez / Nailbey - 2+1,12500.0
Merkez - 1+1,19500.0
Merkez / 1800 Evler - 3+1,17000.0
Merkez / İzzetpaşa - 3+1,18000.0
Merkez / Sürsürü - 4+0,15500.0
Merkez / Yurtbaşı - 2+0,21000.0
Merkez / Sürsürü - 3+1,25000.0
Merkez / İzzetpaşa - 1+1,20000.0
Merkez / Sürsürü - 2+1,10500.0
Merkez / Nailbey - 3+1,10000.0
Merkez / Doğukent - 3+1,18000.0
Merkez - 2+1,10500.0
Merkez / Sürsürü - 1+1,15000.0
Merkez / 1800 Evler - 3+1,33000.0
Merkez - 3+1,11000.0
Merkez / Sürsürü - 3+1,25400.0
Merkez / Nailbey - 3+1,12500.0
Merkez / Sürsürü - 2+1,11000.0
Merkez - 3+1,11500.0
Merkez / İzzetpaşa - 3+1,12500.0
Merkez / Mustafapaşa - 3+1,16000.0
Merkez - 3+1,11000.0
Merkez / Sürsürü - 2+1,16500.0
Merkez - 3+1,9500.0
Merkez / 1800 Evler - 1+1,21000.0
Merkez / Sürsürü - 1+1,18000.0
Merkez / Sürsürü - 1+1,20000.0
Merkez / Sürsürü - 3+1,22000.0
Merkez / 1800 Evler - 4+1,16000.0
Merkez / 1800 Evler - 3+1,20000.0
Merkez / Sürsürü - 2+1,18500.0
Merkez - 3+1,11000.0
Merkez - 3+1,25000.0
Merkez - 2+1,20000.0
Merkez / Sürsürü - 3+1,21500.0
Merkez / Mustafapaşa - 3+1,12000.0
Merkez / Sürsürü - 3+1,15000.0
Merkez / Sürsürü - 1+1,18750.0
Merkez / Sürsürü - 4+1,23000.0
Merkez / 1800 Evler - 3+1,16500.0
Merkez - 3+1,10000.0
Merkez - 2+1,10000.0
Kovancılar - 3+1,8000.0
Merkez - 2+1,10500.0
Merkez / Sürsürü - 2+1,10500.0
Merkez / İzzetpaşa - 1+1,23000.0
Merkez / 1800 Evler - 2+1,19000.0
Merkez / Sürsürü - 2+1,20000.0
Merkez / Sürsürü - 3+1,7000.0
Merkez - 2+1,13500.0
Merkez / İzzetpaşa - 1+1,23000.0
Merkez / 1800 Evler - 2+1,13000.0
Merkez / 1800 Evler - 6+2,160000.0
Merkez / Sürsürü - 2+1,11000.0
Merkez - 1+1,21000.0
Merkez / Mustafapaşa - 2+1,14000.0
Merkez / Sürsürü - 1+1,13500.0
Merkez / İzzetpaşa - 3+1,12500.0
Merkez / İzzetpaşa - 2+0,16000.0
Merkez / Yurtbaşı - 2+1,9500.0
Merkez / Nailbey - 3+1,21000.0
Merkez - 2+1,12000.0
Merkez / Sürsürü - 3+1,15000.0
Merkez - 3+1,15000.0
Merkez / 1800 Evler - 3+1,15000.0
Merkez / Sürsürü - 2+0,29000.0
Merkez / 1800 Evler - 2+1,20500.0
Merkez / Sürsürü - 1+1,17000.0
Merkez / Sürsürü - 3+1,14000.0
Merkez / Sürsürü - 2+1,17500.0
Merkez - 3+1,11500.0
Merkez / Sürsürü - 2+1,15000.0
Kovancılar - 3+1,12000.0
Merkez / Sürsürü - 3+1,26000.0
Merkez / Mustafapaşa - 3+1,14000.0
Merkez - 3+1,11000.0
Merkez / 1800 Evler - 1+1,23500.0
Merkez / İzzetpaşa - 1+1,23000.0
Merkez / Nailbey - 3+1,12500.0
Merkez / 1800 Evler - 2+1,20500.0
Merkez - 3+1,12500.0
Merkez - 1+1,15000.0
Merkez / Sürsürü - 4+1,35500.0
Merkez - 3+1,10000.0
Merkez / Sürsürü - 1+1,20000.0
Merkez - 2+1,12500.0
Merkez / Nailbey - 3+1,11000.0
Merkez / İzzetpaşa - 2+0,20000.0
Merkez / Mustafapaşa - 2+1,9000.0
Merkez / Sürsürü - 3+1,10000.0
Merkez / Sürsürü - 3+1,12000.0
Merkez / Sürsürü - 1+1,23500.0
Merkez / Sürsürü - 4+1,19000.0
Merkez / Mustafapaşa - 3+1,12500.0
Merkez / İzzetpaşa - 3+1,12000.0
Sivrice - 2+1,15000.0
Merkez / 1800 Evler - 4+1,55000.0
Merkez / Köyler - 3+1,10000.0
Merkez / Sürsürü - 2+1,13000.0
Merkez - 3+1,14500.0
Merkez / 1800 Evler - 3+1,20000.0
Merkez / Sürsürü - 3+1,25500.0
Merkez / Sürsürü - 3+1,19000.0
Merkez / İzzetpaşa - 3+1,13000.0
Merkez / Sürsürü - 1+1,15000.0
Merkez / Nailbey - 4+1,17500.0
Merkez / 1800 Evler - 4+1,24000.0
Merkez / Sürsürü - 3+1,12500.0
Merkez - 3+1,22000.0
Merkez / 1800 Evler - 3+1,15000.0
Merkez / Sürsürü - 1+1,24000.0
Merkez / 1800 Evler - 1+1,24000.0
Merkez / 1800 Evler - 2+1,12500.0
Merkez / Nailbey - 3+1,13500.0
Merkez - 2+1,15000.0
Merkez / İzzetpaşa - 3+1,16000.0
Merkez / 1800 Evler - 1+1,15000.0
Merkez / İzzetpaşa - 3+1,12750.0
Merkez - 2+1,8500.0
Merkez / Mustafapaşa - 2+1,11000.0
Merkez / Yurtbaşı - 3+2,18000.0
Merkez / Köyler - 3+1,8500.0
Merkez - 3+1,12500.0
Merkez - 3+1,12500.0
Merkez / Yurtbaşı - 2+1,9000.0
Merkez / 1800 Evler - 1+1,11500.0
Merkez / İzzetpaşa - 2+0,26500.0
Merkez / Doğukent - Stüdyo (1+0),10400.0
Merkez / 1800 Evler - 3+1,16000.0
Merkez / İzzetpaşa - 2+0,25000.0
Merkez / Yurtbaşı - 3+1,25500.0
Merkez - 3+1,12000.0
Merkez / Sürsürü - 1+1,21000.0
Merkez - 2+1,15000.0
Merkez / Doğukent - 3+1,20000.0
Merkez / Sürsürü - 4+1,28000.0
Merkez / Yurtbaşı - 3+1,11000.0
Merkez / Sürsürü - 1+1,18000.0
Merkez / İzzetpaşa - 3+1,23500.0
Merkez - 2+1,13000.0
Merkez / İzzetpaşa - 2+1,17000.0
Merkez - 3+1,8500.0
Merkez / Sürsürü - 4+1,38000.0
Merkez - 3+1,10000.0
Merkez / Sürsürü - 2+1,14000.0
Merkez / Nailbey - 4+1,15000.0
Merkez / Nailbey - 4+1,15000.0
Merkez / Sürsürü - 2+1,20000.0
Merkez / Sürsürü - 4+1,22500.0
Merkez - 3+1,10500.0
Merkez / 1800 Evler - 1+1,22500.0
Merkez / Nailbey - 3+1,16000.0
Merkez / Sürsürü - 1+1,22000.0
Merkez - 3+1,11000.0
Merkez / Sürsürü - 1+1,16500.0
Merkez / Sürsürü - 3+1,34000.0
Merkez - 3+1,11000.0
Merkez / İzzetpaşa - 1+1,18750.0
Merkez / Doğukent - 3+1,23500.0
Merkez / Köyler - 3+1,10000.0
Merkez / Sürsürü - 3+1,27000.0
Merkez / İzzetpaşa - 2+0,19000.0
Merkez / Sürsürü - 4+1,35000.0
Merkez - 3+1,9000.0
Merkez / Sürsürü - 1+1,22500.0
Merkez - 2+1,15000.0
Merkez / İzzetpaşa - Stüdyo (1+0),15000.0
Merkez / Nailbey - 3+1,12000.0
Merkez / Yurtbaşı - 3+1,10500.0
Merkez / Sürsürü - 3+1,12000.0
Merkez / Mustafapaşa - 3+1,10500.0
Merkez / Sürsürü - 2+1,10000.0
Merkez - 2+1,8500.0
Merkez / Sürsürü - 1+1,21000.0
Merkez / Sürsürü - 3+1,24500.0
Karakoçan - 3+1,8000.0
Merkez - 3+1,8000.0
Merkez / Sürsürü - 1+1,16000.0
Merkez / Yurtbaşı - 2+1,10000.0
Merkez / Yurtbaşı - 3+1,9500.0
Merkez / Sürsürü - 3+1,13000.0
Merkez / İzzetpaşa - 2+1,16000.0
Merkez - 3+1,13000.0
Merkez / Sürsürü - 1+1,21500.0
Merkez / İzzetpaşa - 4+1,20000.0
Merkez - 2+1,24000.0
Merkez - 3+1,11000.0
Merkez / Yurtbaşı - 3+1,7500.0
Merkez / Sürsürü - 1+1,19000.0
Merkez - 3+1,11000.0
Merkez / Yurtbaşı - 1+1,13500.0
Merkez / Sürsürü - 3+1,10000.0
Merkez - 3+1,12500.0
Kovancılar - 3+1,10000.0
Merkez / İzzetpaşa - 3+1,12000.0
Merkez / İzzetpaşa - 3+1,16000.0
Merkez / Yurtbaşı - 4+1,17000.0
Merkez / Yurtbaşı - 3+1,12000.0
Merkez / İzzetpaşa - 3+1,15000.0
Merkez / Doğukent - 3+1,8000.0
Merkez / Mustafapaşa - 3+1,15500.0
Merkez / 1800 Evler - 3+1,12000.0
Merkez / Sürsürü - 2+1,10000.0
Merkez / İzzetpaşa - 1+1,20000.0
Merkez / Sürsürü - 2+1,8500.0
Sivrice - 2+1,3000.0
Merkez / 1800 Evler - 3+1,13500.0
Merkez / 1800 Evler - 1+1,16000.0
Merkez / Yurtbaşı - 2+1,8000.0
Merkez / Sürsürü - 2+1,25000.0
Merkez / İzzetpaşa - 1+1,20000.0
Merkez / Sürsürü - 2+1,25000.0
Merkez / Yurtbaşı - 2+1,7500.0
Merkez / Mustafapaşa - 2+1,11000.0
Merkez - 2+1,10700.0
Merkez / İzzetpaşa - 2+1,6500.0
Merkez - 3.5+1,12000.0
Merkez / Yurtbaşı - 3+1,9000.0
Merkez / Sürsürü - 4+1,18500.0
Merkez - 3+1,13000.0
Merkez / Sürsürü - 2+0,19250.0
Merkez / Mustafapaşa - 3+1,20000.0
Merkez / 1800 Evler - 4+1,26000.0
Merkez / Mustafapaşa - 3+1,11000.0
Merkez / Sürsürü - 1+1,21500.0
Merkez / Doğukent - 3+1,13500.0
Merkez - 3+1,10000.0
Merkez / İzzetpaşa - 3+1,25000.0
Merkez - 2+1,11000.0
Merkez / Mustafapaşa - 3+1,14000.0
Merkez / Yurtbaşı - 3+1,6000.0
Merkez / 1800 Evler - 2+1,13500.0
Merkez / 1800 Evler - 1+1,12500.0
Merkez / Mustafapaşa - 3+1,7000.0
Merkez / Sürsürü - 3+1,18950.0
Merkez / İzzetpaşa - 1+1,13500.0
Merkez / İzzetpaşa - 3+1,8500.0
Merkez - 3+1,12500.0
Merkez / İzzetpaşa - 4+1,30000.0
Merkez - 3+1,12500.0
Merkez / Sürsürü - 4+1,23000.0
Merkez / Yurtbaşı - 3+1,15000.0
Merkez / 1800 Evler - 3+1,13000.0
Merkez / Sürsürü - 1+1,24500.0
Merkez / İzzetpaşa - 2+1,14500.0
Merkez / İzzetpaşa - 3+1,9000.0
Merkez / Nailbey - 2+1,8500.0
Merkez - 3+1,10000.0
Merkez / Doğukent - 3+1,21000.0
Merkez / Sürsürü - 3+1,26000.0
Merkez / Sürsürü - 1+1,18000.0
Merkez / Yurtbaşı - 2+1,19000.0
Merkez / Sürsürü - 1+1,20500.0
Merkez / Sürsürü - 1+1,21000.0
Merkez - 2+1,20000.0
Merkez / Sürsürü - 1+1,18000.0
Merkez / Sürsürü - 1+1,16000.0
Merkez / 1800 Evler - 4+1,24500.0
Merkez / Sürsürü - 1+1,13750.0
Merkez - 3+1,13000.0
Merkez / Sürsürü - 2+1,19500.0
Merkez / Sürsürü - 4+1,31500.0
Merkez / Sürsürü - 4+1,30000.0
Merkez / Yurtbaşı - 3+1,10000.0
Merkez / Sürsürü - 4+1,35000.0
Merkez / Sürsürü - 1+1,19500.0
Merkez / 1800 Evler - 1+1,26000.0
Merkez - 3+1,8500.0
Merkez / Sürsürü - 2+1,19000.0
Merkez - 3+1,10000.0
Merkez / Sürsürü - 2+1,19000.0
