product_name,price
Merkez / Sürsürü - 1+1,19500.0
Merkez / Sürsürü - 1+1,16000.0
Merkez / 1800 Evler - 3+1,13750.0
Merkez / Yurtbaşı - 2+1,7500.0
Merkez / Doğukent - 3+1,17500.0
Merkez / 1800 Evler - 1+1,9000.0
Merkez / Doğukent - 3+1,17000.0
Merkez - 3+1,13750.0
Merkez / Nailbey - 3+1,8500.0
Merkez / Sürsürü - 2+0,20500.0
Merkez / Sürsürü - 1+1,20800.0
Merkez / Sürsürü - 2+1,23000.0
Merkez / 1800 Evler - 2+1,16500.0
Merkez / Yurtbaşı - 3+1,6000.0
Merkez / İzzetpaşa - 4+1,13000.0
Merkez - 3+1,7500.0
Merkez / Sürsürü - 3+1,12000.0
Merkez / Sürsürü - 2+1,24000.0
Merkez / Sürsürü - 3+1,13000.0
Merkez / İzzetpaşa - 3+1,16000.0
Merkez / Nailbey - 3+1,8000.0
Merkez / Sürsürü - 1+1,22000.0
Merkez / 1800 Evler - 1+1,20000.0
Merkez / Mustafapaşa - 3+1,10000.0
Merkez / Köyler - 3+1,10500.0
Merkez / Sürsürü - 3+1,11000.0
Merkez / 1800 Evler - 1+1,12000.0
Merkez / Sürsürü - 3+1,14000.0
Merkez / Yurtbaşı - 3+1,15500.0
Merkez / Sürsürü - 3+1,20000.0
Merkez / 1800 Evler - 4+1,14000.0
Merkez / Doğukent - 3+1,23500.0
Merkez / Sürsürü - 4+1,33000.0
Merkez / Sürsürü - 1+1,18000.0
Merkez / Sürsürü - 1+1,12500.0
Palu - 2+1,7000.0
Merkez / Sürsürü - 1+1,25750.0
Merkez / İzzetpaşa - 2+1,9000.0
Merkez / İzzetpaşa - 4+1,15000.0
Merkez / İzzetpaşa - 3+1,12000.0
Merkez / Sürsürü - 4+1,19500.0
Merkez / 1800 Evler - 4+1,19000.0
Kovancılar - 2+1,13000.0
Merkez / Nailbey - 3+1,8500.0
Merkez - 3+1,7500.0
Merkez / İzzetpaşa - 3+1,14000.0
Merkez / İzzetpaşa - 1+1,14000.0
Merkez - 3+1,6500.0
Merkez / 1800 Evler - 4+1,23000.0
Merkez - 3+1,8750.0
Merkez / Yurtbaşı - 3+2,20000.0
Merkez - 2+1,8000.0
Merkez / 1800 Evler - 1+1,16500.0
Merkez / Sürsürü - 3+1,16500.0
Merkez - 3+1,9500.0
Merkez / Sürsürü - 3+1,16000.0
Merkez / Sürsürü - 3+1,17500.0
Merkez / İzzetpaşa - 2+1,15000.0
Merkez - 3+1,15250.0
Merkez / 1800 Evler - 2+1,20500.0
Merkez / İzzetpaşa - 3+1,18000.0
Merkez / 1800 Evler - 1+1,28000.0
Merkez / Sürsürü - 3+1,7000.0
Merkez - 3+1,12000.0
Merkez / 1800 Evler - 1+1,16000.0
Merkez / Sürsürü - 4+1,25500.0
Merkez / Mustafapaşa - 3+1,17000.0
Merkez - 3+1,12500.0
Merkez / Sürsürü - 3+1,16500.0
Merkez / İzzetpaşa - 4+1,17000.0
Merkez / Sürsürü - 2+1,16500.0
Merkez / Yurtbaşı - 3+1,16000.0
Merkez / Yurtbaşı - 3+1,13500.0
Merkez / Doğukent - 3+1,20000.0
Merkez / Nailbey - 4+1,20500.0
Merkez / Nailbey - 3+1,8000.0
Merkez / Yurtbaşı - 1+1,19000.0
Merkez / 1800 Evler - 1+1,27000.0
Merkez / Sürsürü - 4+1,21000.0
Merkez / Sürsürü - 3+1,26500.0
Merkez / 1800 Evler - 3+1,16500.0
Merkez - 3+1,7000.0
Merkez / Mustafapaşa - 2+1,9000.0
Merkez / Yurtbaşı - 3+1,10000.0
Merkez / Sürsürü - 1+1,17000.0
Merkez / Mustafapaşa - 3+1,8500.0
Merkez / Sürsürü - 3+1,27500.0
Merkez / Yurtbaşı - 1+1,23000.0
Merkez / Nailbey - 3+1,13000.0
Merkez / Sürsürü - 3+1,24500.0
Merkez - 3+1,7500.0
Merkez / Sürsürü - 2+1,18000.0
Merkez / İzzetpaşa - 3+1,8000.0
Merkez / Sürsürü - 2+0,19750.0
Merkez - 3+1,12000.0
Merkez - 1+1,23000.0
Merkez / Sürsürü - 1+1,20000.0
Merkez - 3+1,10000.0
Merkez / Sürsürü - 3+1,19900.0
Merkez / Sürsürü - 3+1,12500.0
Merkez / Sürsürü - 1+1,13500.0
Merkez / Sürsürü - 4+1,33500.0
Merkez / Sürsürü - 3+1,12500.0
Merkez / Sürsürü - 3+1,11000.0
Merkez / İzzetpaşa - 3+1,22500.0
Merkez / Mustafapaşa - 4+1,9500.0
Merkez / 1800 Evler - 2+1,15000.0
Merkez / Sürsürü - 2+1,17500.0
Merkez / İzzetpaşa - 3+1,10250.0
Merkez / Sürsürü - 3+1,14500.0
Merkez / İzzetpaşa - 1+1,22500.0
Merkez - 3+1,8500.0
Merkez / 1800 Evler - 3+1,14500.0
Merkez / Mustafapaşa - 3+1,15500.0
Merkez / Sürsürü - 2+1,15000.0
Merkez / Nailbey - 3+1,10500.0
Merkez / 1800 Evler - 3+1,19500.0
Merkez / 1800 Evler - 1+1,16000.0
Merkez - 3+1,22500.0
Merkez / Mustafapaşa - 3+1,9500.0
Merkez / İzzetpaşa - 2.5+1,7500.0
Merkez / Sürsürü - 4+1,36000.0
Merkez - 3+1,11500.0
Merkez / Nailbey - 4+1,10000.0
Merkez / Sürsürü - 1+1,20000.0
Merkez / Mustafapaşa - 3+1,18000.0
Merkez / Mustafapaşa - 3+1,14000.0
Merkez / İzzetpaşa - 3+1,20000.0
Merkez / 1800 Evler - 3+1,19000.0
Merkez - 2+1,12000.0
Merkez / Sürsürü - 2+1,10000.0
Merkez / Sürsürü - 3+1,29000.0
Merkez - 3+1,13000.0
Merkez / 1800 Evler - 3+1,20500.0
Merkez - 3+1,12500.0
Merkez / 1800 Evler - 3+1,14000.0
Merkez / Sürsürü - 4+1,30000.0
Merkez / İzzetpaşa - 3+1,6500.0
Merkez / Yurtbaşı - 3+1,18500.0
Merkez - 3+1,8500.0
Merkez / 1800 Evler - 4+1,27000.0
Merkez / İzzetpaşa - 3+1,12500.0
Kovancılar - 3+1,12000.0
Merkez / Sürsürü - 1+1,19500.0
Merkez / Sürsürü - 4+1,23000.0
Merkez - 2+1,15000.0
Merkez / 1800 Evler - 4+1,40000.0
Merkez / İzzetpaşa - 4+1,15000.0
Merkez / İzzetpaşa - 3+1,15000.0
Merkez / İzzetpaşa - 2+1,17500.0
Merkez / Aksaray - 3+1,10000.0
Merkez / Sürsürü - 3+1,13500.0
Merkez / Sürsürü - 4+1,35000.0
Merkez / Yurtbaşı - 3+1,25500.0
Merkez / Mustafapaşa - 5+2,31000.0
Merkez / Sürsürü - 1+1,19750.0
Merkez / İzzetpaşa - 3+1,10500.0
Merkez / Sürsürü - 1+1,11500.0
Merkez - 3+1,7500.0
Merkez / Sürsürü - 4+1,35000.0
Merkez / 1800 Evler - 4+1,24500.0
Merkez / Sürsürü - 4+1,22500.0
Merkez - 3+1,10500.0
Merkez - 3+1,10900.0
Merkez / Aksaray - 3+1,12500.0
Merkez / Sürsürü - 3+1,8000.0
Merkez / Sürsürü - 1+1,23500.0
Merkez / Köyler - 3+1,10000.0
Merkez / Nailbey - 3+1,14500.0
Merkez / Sürsürü - 3+1,13000.0
Merkez / 1800 Evler - 4+1,20000.0
Merkez / 1800 Evler - 4+1,21000.0
Merkez / 1800 Evler - 3+1,13500.0
Merkez / İzzetpaşa - 3+1,13000.0
Merkez / Sürsürü - 3+1,7000.0
Merkez / Sürsürü - 4+1,29000.0
Merkez - 3+1,13500.0
Merkez / Sürsürü - 1+1,16000.0
Merkez / Nailbey - 3+1,8500.0
Merkez / Sürsürü - 4+1,23000.0
Merkez / Sürsürü - 1+1,17000.0
Merkez / 1800 Evler - 3+1,13000.0
Merkez / Sürsürü - 3+1,11000.0
Merkez / Yurtbaşı - 3+1,11100.0
Merkez / 1800 Evler - 1+1,13000.0
Merkez / Sürsürü - 3+1,10500.0
Merkez / Sürsürü - 1+1,15000.0
Merkez / Doğukent - 3+1,30000.0
Merkez / İzzetpaşa - 3+1,13500.0
Merkez / Köyler - 3+1,10000.0
Merkez - 3+1,9500.0
Merkez / Sürsürü - 1+1,15000.0
Merkez / Sürsürü - 1+1,20500.0
Merkez / 1800 Evler - 3+1,16000.0
Merkez / Sürsürü - 3+1,22500.0
Merkez - 3+1,8000.0
Merkez - 3+1,11500.0
Merkez / Sürsürü - 1+1,25000.0
Merkez / Sürsürü - 3+1,19000.0
Merkez / İzzetpaşa - 4+1,13000.0
Merkez / 1800 Evler - 1+1,20000.0
Merkez / 1800 Evler - 3+1,12000.0
Merkez / Sürsürü - 2+1,20000.0
Merkez - 3+1,7500.0
Merkez / Sürsürü - 1+1,20500.0
Merkez / Sürsürü - 1+1,17000.0
Merkez / 1800 Evler - 4+1,22750.0
Merkez / Mustafapaşa - 3+1,15000.0
Merkez / İzzetpaşa - 3+1,7500.0
Merkez / Sürsürü - 4+1,28000.0
Merkez / 1800 Evler - 3+2,25550.0
Merkez / Sürsürü - 3+1,16000.0
Merkez / Nailbey - 3+1,9000.0
Merkez - 3+1,6750.0
Merkez / Sürsürü - 3+1,12500.0
Merkez / Doğukent - 3+1,19000.0
Merkez / İzzetpaşa - 2+1,17500.0
Merkez / 1800 Evler - 3+1,14000.0
Merkez / 1800 Evler - 3+1,35000.0
Merkez / İzzetpaşa - 3+1,15000.0
Merkez / Sürsürü - 3+1,32000.0
Merkez - 3+1,19000.0
Merkez / 1800 Evler - 2+1,18000.0
Merkez / Yurtbaşı - 3+1,13000.0
Merkez / Sürsürü - 2+0,11000.0
Merkez / Sürsürü - 1+1,24750.0
Merkez / Sürsürü - 3+1,17000.0
Merkez / Sürsürü - 3+1,13000.0
Merkez / Sürsürü - 1+1,18000.0
Merkez / Mustafapaşa - 3+1,11000.0
Merkez - 2+1,9250.0
Merkez / Sürsürü - 3+1,14000.0
Merkez / 1800 Evler - 1+1,17000.0
Merkez / Mustafapaşa - 1+1,7000.0
Merkez / Yurtbaşı - 3+1,9500.0
Merkez / Yurtbaşı - 3+1,25000.0
Merkez / Sürsürü - 4+1,21000.0
Merkez / Sürsürü - 1+1,20000.0
Merkez / İzzetpaşa - 3+1,11000.0
Merkez / Sürsürü - 1+1,20500.0
Merkez / Mustafapaşa - 3+1,11000.0
Merkez / İzzetpaşa - 4+1,19500.0
Merkez / Nailbey - 3+1,7500.0
Merkez / 1800 Evler - 3+1,21000.0
Kovancılar - 2+1,16000.0
Merkez / Mustafapaşa - 3+1,18000.0
Merkez / İzzetpaşa - 1+1,23000.0
Merkez / Doğukent - 3+1,14000.0
Merkez / Sürsürü - 4+1,21000.0
Merkez / Sürsürü - 2+1,23700.0
Merkez / İzzetpaşa - 3+1,10000.0
Merkez / 1800 Evler - 3+1,16000.0
Merkez / Sürsürü - 3+1,17500.0
Merkez / İzzetpaşa - 3+1,15000.0
Merkez / 1800 Evler - 3+1,16000.0
Merkez / Sürsürü - 1+1,22000.0
Merkez / İzzetpaşa - 3+1,10500.0
Merkez / Sürsürü - 4+1,29750.0
Merkez - 3+1,15500.0
Merkez / Sürsürü - 1+1,25500.0
Merkez / Mustafapaşa - 2+1,7000.0
Merkez / Sürsürü - 1+1,25500.0
Merkez - 3+1,10000.0
Merkez / Sürsürü - 2+1,8500.0
Merkez / Mustafapaşa - 3+1,17500.0
Merkez / Doğukent - 3+1,18000.0
Karakoçan - 2+1,7500.0
Merkez / Mustafapaşa - 2+1,10500.0
Merkez / Doğukent - 3+1,15500.0
Merkez / Sürsürü - 1+1,20000.0
Kovancılar - 3+1,12000.0
Merkez - 3+1,13000.0
Merkez / Sürsürü - 3+1,25000.0
Merkez / Mustafapaşa - 3+1,11000.0
Merkez / Sürsürü - 1+1,25000.0
